question,RMV,REM,RGLAD,RLFC,truth,AND,OR,hard
5cf9868844578a0664b07a16,3,5,4,5,1,0,7,0
5cf9868e44578a0664b15480,5,5,5,5,5,5,5,0
5cf9889744578a0664d79150,4,5,4,5,4,4,5,0
5cf988a544578a0664d91d42,5,5,4,5,4,4,5,0
5cf98a0b44578a0664e319d5,1,1,1,1,1,1,1,0
5cf98a6944578a0664ebacd9,1,2,2,2,2,0,3,0
5cf98a8344578a0664edefa5,3,4,4,4,1,0,7,0
5cf98b7944578a0664f6515a,4,4,4,4,4,4,4,0
5cf98bb344578a0664fb3ee3,1,1,1,1,1,1,1,0
5cf98cca44578a06640e3007,4,4,4,4,4,4,4,0
5cf98d1544578a066416441b,2,2,2,2,4,2,2,0
5cf98d2444578a066417dd6f,2,2,2,2,2,2,2,0
5cf98d8144578a06641e207e,2,2,2,2,2,2,2,0
5cf98d8f44578a06641f61fb,5,5,5,5,4,5,5,0
5cf9931444578a06646704dc,2,2,2,2,2,2,2,0
5cf9936d44578a06646cd37b,1,2,1,2,1,0,3,0
5cf995bc44578a06647bc831,3,4,3,4,4,0,7,0
5cf995c144578a06647c0aa8,5,2,1,2,2,0,7,0
5cf995c744578a06647c2b0a,3,3,4,3,4,0,7,0
5cf9965944578a0664803acb,1,1,1,1,1,1,1,0
5cf9969e44578a06648250ca,1,1,1,1,1,1,1,0
5cf996e044578a066482e51e,1,1,1,1,1,1,1,0
5cf9984044578a066489cfc7,2,2,2,2,2,2,2,0
5cf9999f44578a06648e2bfc,5,5,5,5,5,5,5,0
5cf999ad44578a06648e692b,2,3,3,3,4,2,3,0
5cf999ee44578a06648fcf9e,1,1,1,1,1,1,1,0
5cf99c9a44578a0664ab9997,1,1,1,1,1,1,1,0
5cf99cd544578a0664ae5ac8,4,4,4,4,4,4,4,0
5cf99ec944578a0664c5ae6d,1,1,1,1,1,1,1,0
5cf99fc644578a0664d46e78,3,3,3,3,3,3,3,0
5cf99fe644578a0664d553b3,4,2,4,2,1,0,6,0
5cf99ffe44578a0664d7fed6,1,1,1,1,1,1,1,0
5cf9a00844578a0664d960b0,4,4,2,4,4,0,6,0
5cf9a19644578a0664eabdda,4,4,4,4,4,4,4,0
5cf9a19a44578a0664eb30ba,3,4,3,4,4,0,7,0
5cf9a50f44578a066414f435,3,5,3,5,3,1,7,0
5cf9a5e144578a06641c8e4f,4,4,4,4,4,4,4,0
5cf9a5eb44578a06641d1d74,1,1,1,1,1,1,1,0
5cf9a87144578a06643f1e83,2,2,2,2,4,2,2,0
5cf9a8a144578a0664415b5e,3,3,3,3,3,3,3,0
5cf9a91644578a0664464487,4,4,4,4,4,4,4,0
5cf9a92644578a066447d2b9,3,3,3,3,4,3,3,0
5cf9ab6a44578a0664566cb4,2,5,3,5,4,0,7,0
5cf9ab8744578a06645712ec,4,5,4,5,4,4,5,0
5cf9aca344578a06646264af,1,1,1,1,1,1,1,0
5cf9ae0e44578a066469be37,1,1,1,1,1,1,1,0
5cf9ae1644578a06646a5762,4,4,4,4,4,4,4,0
5cf9ae1f44578a06646ae1b6,3,3,3,3,4,3,3,0
5cf9b01044578a0664770a82,4,5,3,5,2,0,7,0
5cf9b03144578a06647744da,3,5,3,5,4,1,7,0
5cf9b11344578a06647b457a,2,2,2,2,2,2,2,0
5cf9b27e44578a0664859894,1,1,1,1,1,1,1,0
5cf9b2fb44578a066488c803,3,3,3,3,3,3,3,0
5cf9b35144578a06648d490e,1,1,1,1,1,1,1,0
5cf9b3da44578a066491401c,3,4,3,4,4,0,7,0
5cf9b53644578a06649b4427,3,3,5,3,4,1,7,0
5cf9b5fc44578a0664a173f7,1,1,1,1,1,1,1,0
5cf9b87e44578a0664bcd44b,1,1,1,1,1,1,1,0
5cf9b88044578a0664bd14dc,1,1,1,1,1,1,1,0
5cf9b96c44578a0664c587e0,2,5,3,5,4,0,7,0
5cf9b98144578a0664c77081,1,1,1,1,5,1,1,0
5cf9bbbe44578a0664d58e49,4,4,4,4,4,4,4,0
5cf9bc8b44578a0664dc089f,1,1,1,1,1,1,1,0
5cf9bd2944578a0664e097b7,1,1,1,1,1,1,1,0
5cf9bee544578a0664ed0df9,1,1,1,1,4,1,1,0
5cf9bfc444578a0664f569af,3,4,3,4,4,0,7,0
5cf9c02844578a0664f7ceaf,4,2,4,2,4,0,6,0
5cf9c41444578a0664126e80,1,4,1,4,1,0,5,0
5cf9c51744578a06641b236c,1,1,1,1,1,1,1,0
5cf9c52a44578a06641caab2,1,3,4,3,4,0,7,0
5cf9c6bb44578a066430c9be,2,2,2,2,2,2,2,0
5cf9c6ef44578a066433a02f,1,1,1,1,1,1,1,0
5cf9c72e44578a066436a676,1,1,1,1,1,1,1,0
5cf9c7c744578a06643e4cde,1,1,1,1,1,1,1,0
5cf9c97144578a06644ff287,1,1,1,1,1,1,1,0
5cf9c9ab44578a066450c069,4,4,4,4,4,4,4,0
5cf9c9e044578a0664548506,3,5,3,5,3,1,7,0
5cf9ca8a44578a066460174f,2,2,2,2,1,2,2,0
5cf9cab544578a066461c9a7,1,1,1,1,1,1,1,0
5cf9cb8944578a06646cb689,1,5,1,5,4,1,5,0
5cf9cb9544578a06646ddca1,1,1,1,1,1,1,1,0
5cf9cbcf44578a0664732daa,4,4,4,4,4,4,4,0
5cf9ce4844578a0664900187,2,2,2,2,2,2,2,0
5cf9d06744578a0664a14725,1,1,1,1,1,1,1,0
5cf9d10144578a0664a486d5,1,2,1,2,1,0,3,0
5cf9d14744578a0664a610f2,5,5,5,5,4,5,5,0
5cf9d2e944578a0664b03f8e,3,3,3,3,4,3,3,0
5cfd41e844578a0664b9d1f6,4,4,4,4,1,4,4,0
5cfd420144578a0664ba04e9,1,1,1,1,1,1,1,0
5cfd469e44578a0664c6f635,4,4,4,4,4,4,4,0
5cfd46e244578a0664c84a1d,1,1,1,1,1,1,1,0
5cfd46e244578a0664c852ff,1,1,1,1,2,1,1,0
5cfd4a1c44578a0664d70ed7,1,1,1,1,1,1,1,0
5cfd4a2b44578a0664d8e4e4,3,3,3,3,4,3,3,0
5cfd4a6744578a0664de5226,1,1,1,1,1,1,1,0
5cfd4c2944578a0664ec9b57,1,1,1,1,1,1,1,0
5cfd4c4644578a0664ee3c75,1,1,1,1,2,1,1,0
5cfd4c9244578a0664f417c0,4,4,4,4,4,4,4,0
5cfd514844578a06640bf66d,1,1,1,1,1,1,1,0
5cfd524844578a06641539a3,1,2,1,2,2,0,3,0
5cfd52af44578a06641c389e,4,4,4,4,4,4,4,0
5cfd52b444578a06641cfae1,2,2,2,2,4,2,2,0
5cfd575544578a066436c7ab,5,5,5,5,4,5,5,0
5cfd57db44578a0664382da0,1,1,1,1,1,1,1,0
5cfd57fa44578a06643a0ec0,1,1,1,1,1,1,1,0
5cfd584f44578a06643c8783,1,1,1,1,1,1,1,0
5cfd590744578a066441419b,1,2,1,2,1,0,3,0
5cfd593144578a0664434f33,1,1,1,1,1,1,1,0
5cfd5b2244578a066449dff2,2,2,2,2,4,2,2,0
5cfd5c0644578a066452920d,4,5,3,5,4,0,7,0
5cfd5c7644578a0664539147,3,4,3,4,3,0,7,0
5cfd5d0644578a06645f2d99,1,1,1,1,1,1,1,0
5cfd5d9b44578a06646437cc,1,1,1,1,1,1,1,0
5cfd5ff044578a0664756432,1,1,1,1,4,1,1,0
5cfd60fb44578a06647b3d65,1,1,1,1,1,1,1,0
5cfd611944578a06647d1ff2,2,2,2,2,2,2,2,0
5cfd619044578a066481ea89,1,1,1,1,1,1,1,0
5cfd638e44578a06648d557f,2,2,2,2,2,2,2,0
5cfd63ef44578a0664905a21,2,2,2,2,2,2,2,0
5cfd642444578a066493674c,3,5,3,5,4,1,7,0
5cfd644544578a066494f4bf,1,1,1,1,1,1,1,0
5cfd650944578a06649becd2,5,5,4,5,4,4,5,0
5cfd651a44578a06649c3141,1,1,1,1,1,1,1,0
5cfd657944578a0664a02f49,3,3,3,3,3,3,3,0
5cfd658944578a0664a1adcd,1,1,1,1,1,1,1,0
5cfd658e44578a0664a1eea7,4,2,4,2,4,0,6,0
5cfd65d844578a0664a51278,5,5,5,5,1,5,5,0
5cfd65f444578a0664a793f6,1,1,1,1,1,1,1,0
5cfd663e44578a0664a7de52,2,4,3,4,4,0,7,0
5cfd66f344578a0664ad031c,1,1,1,1,1,1,1,0
5cfd678f44578a0664b3964c,5,5,5,5,4,5,5,0
5cfd6af044578a0664d25db9,3,3,3,3,4,3,3,0
5cfd6b0944578a0664d3e8bd,4,4,4,4,4,4,4,0
5cfd6c9144578a0664dc016f,2,2,2,2,2,2,2,0
5cfd6caa44578a0664dcece0,1,1,1,1,1,1,1,0
5cfd6d2544578a0664dfe559,2,2,2,2,4,2,2,0
5cfd6d4244578a0664e165cb,1,1,1,1,1,1,1,0
5cff00fa44578a0664eb9cf4,3,3,3,3,4,3,3,0
5cff068f44578a0664024b8d,1,2,1,2,4,0,3,0
5d0996f744578a00e05cd959,1,1,1,1,1,1,1,0
5d09971c44578a00e05f9273,3,4,3,4,4,0,7,0
5d09982444578a00e063e69d,1,1,1,1,1,1,1,0
5d09990d44578a00e06a5d2b,1,1,1,1,4,1,1,0
5d09991044578a00e06a7e1c,3,3,3,3,3,3,3,0
5d09991444578a00e06aedfd,4,4,4,4,2,4,4,0
5d09992244578a00e06c64ec,2,2,2,2,2,2,2,0
5d09998a44578a00e06dd83b,1,2,1,2,1,0,3,0
5d099a6e44578a00e0751b58,1,1,1,1,1,1,1,0
5d099a9944578a00e07855c2,4,4,4,4,4,4,4,0
5d099aad44578a00e07a758d,1,5,1,5,1,1,5,0
5d099b1044578a00e07e0219,1,2,1,2,1,0,3,0
5d099bbd44578a00e08243dc,1,1,1,1,1,1,1,0
5d099cce44578a00e0895fa2,1,1,1,1,1,1,1,0
5d099faf44578a00e0932ace,1,3,1,3,1,1,3,0
5d09a27344578a00e0a7e856,1,1,1,1,1,1,1,0
5d09a2a844578a00e0abc879,2,2,2,2,2,2,2,0
5d09a2f144578a00e0ae3802,4,2,4,2,2,0,6,0
5d09a32a44578a00e0b2eb56,1,1,1,1,2,1,1,0
5d09a34644578a00e0b531f7,1,1,1,1,1,1,1,0
5d09a38144578a00e0ba82c3,1,4,1,4,1,0,5,0
5d09a46b44578a00e0bce555,2,2,2,2,2,2,2,0
5d09a83f44578a00e0c7af70,3,4,3,4,4,0,7,0
5d09abea44578a00e0dbe4d2,1,1,1,1,1,1,1,0
5d09ad2744578a00e0e72342,1,1,1,1,1,1,1,0
5d09ad4844578a00e0e99ac6,1,1,1,1,1,1,1,0
5d09ae1744578a00e0f21396,1,1,1,1,3,1,1,0
5d09ae9c44578a00e0fa3132,2,2,2,2,4,2,2,0
5d09b06844578a00e019114c,3,4,1,4,4,0,7,0
5d09b08644578a00e01c5f08,3,3,3,3,3,3,3,0
5d09b0ed44578a00e024721d,3,2,2,2,4,2,3,0
5d09b12c44578a00e02b8123,4,3,3,3,4,0,7,0
5d09b18b44578a00e035c877,5,4,4,4,4,4,5,0
5d09b1e144578a00e03fb387,4,4,4,4,4,4,4,0
5d09b20444578a00e043f828,4,4,4,4,4,4,4,0
5d09b2a744578a00e04e30c2,1,1,1,1,1,1,1,0
5d09b2de44578a00e054e456,3,3,3,3,4,3,3,0
5d09b2ed44578a00e056bd35,1,1,1,1,1,1,1,0
5d09b2fc44578a00e0585479,1,2,1,2,1,0,3,0
5d09b2ff44578a00e0589b2f,1,1,1,1,1,1,1,0
5d09b30644578a00e05951b5,4,4,4,4,4,4,4,0
5d09b31544578a00e05ac1a1,3,5,3,5,4,1,7,0
5d09b32744578a00e05cf33d,3,3,3,3,3,3,3,0
5d09b32f44578a00e05ddc21,1,1,1,1,1,1,1,0
5d09b37d44578a00e066b07c,1,1,1,1,1,1,1,0
5d09b43c44578a00e07791ec,1,1,1,1,1,1,1,0
5d09b52544578a00e07cdc61,4,2,2,2,4,0,6,0
5d09b55d44578a00e08188d5,3,4,4,4,4,0,7,0
5d09b5dc44578a00e08b3df6,3,3,3,3,1,3,3,0
5d09b5f344578a00e08c8394,2,2,2,2,4,2,2,0
5d09b6b144578a00e090b685,1,1,1,1,1,1,1,0
5d09b8bb44578a00e09bfaab,4,4,4,4,4,4,4,0
5d09ba7744578a00e0a39c4b,2,2,2,2,1,2,2,0
5d09bb0544578a00e0aa068f,4,4,4,4,4,4,4,0
5d09bb0f44578a00e0ab3e47,3,3,3,3,3,3,3,0
5d09bb5a44578a00e0b18174,1,4,1,4,4,0,5,0
5d09bc4e44578a00e0c05310,4,4,4,4,4,4,4,0
5d09bc5844578a00e0c16e78,3,3,3,3,4,3,3,0
5d09bd2d44578a00e0cc3e48,1,1,1,1,1,1,1,0
5d09bd4e44578a00e0cf058b,1,1,1,1,4,1,1,0
5d09bfae44578a00e0e56fbf,4,4,4,4,4,4,4,0
5d09bfc744578a00e0e5f4c0,2,2,2,2,2,2,2,0
5d09c07a44578a00e0eb2571,4,4,4,4,4,4,4,0
5d09c1b244578a00e0f2643d,1,1,1,1,1,1,1,0
5d09c1f144578a00e0f40fa5,1,1,1,1,1,1,1,0
5d09c2a744578a00e0fbc94c,1,1,1,1,1,1,1,0
5d09c39144578a00e0fffac4,1,1,1,1,1,1,1,0
5d09c41b44578a00e00ad312,4,4,4,4,3,4,4,0
5d09c4a844578a00e00f8d68,4,4,4,4,4,4,4,0
5d09c50144578a00e0132713,4,4,4,4,4,4,4,0
5d09c58044578a00e016473d,4,2,4,2,1,0,6,0
5d09c85544578a00e02831a1,3,3,3,3,4,3,3,0
5d09ca3044578a00e03939ef,4,4,4,4,4,4,4,0
5d09ca7c44578a00e03c648b,1,1,1,1,1,1,1,0
5d09cbfe44578a00e046bb1b,1,2,1,2,3,0,3,0
5d09ccca44578a00e04c8cfb,1,1,1,1,1,1,1,0
5d09cdb244578a00e0538053,3,3,3,3,3,3,3,0
5d09ce8844578a00e05a76f4,3,5,3,5,2,1,7,0
5d09d05e44578a00e0638d70,1,1,1,1,4,1,1,0
5d09d38244578a00e079119b,4,4,4,4,4,4,4,0
5d09d39344578a00e07ac5d7,1,1,1,1,1,1,1,0
5d09d93044578a00e09e8dff,4,4,4,4,4,4,4,0
5d09d99744578a00e0a14a23,1,1,1,1,1,1,1,0
5d09d9f944578a00e0a52199,2,2,2,2,2,2,2,0
5d09daa744578a00e0ad6f5f,2,5,2,5,4,0,7,0
5d09db7c44578a00e0b7f296,1,1,1,1,1,1,1,0
5d09db7f44578a00e0b85640,4,4,4,4,4,4,4,0
5d09dc4544578a00e0c574cc,3,4,4,4,4,0,7,0
5d09dc7944578a00e0c6f8ab,3,4,3,4,4,0,7,0
5d09de4444578a00e0d686a3,2,2,2,2,2,2,2,0
5d09e01d44578a00e0ee956e,2,2,2,2,4,2,2,0
5d09e03f44578a00e0f138ba,1,1,1,1,1,1,1,0
5d09e0af44578a00e0f663bd,3,3,3,3,4,3,3,0
5d09e2f344578a00e008482b,3,4,4,4,4,0,7,0
5d09e30444578a00e00a2d85,3,3,3,3,4,3,3,0
5d09e4b744578a00e01815d7,1,2,3,2,2,0,3,0
5d09e6a244578a00e0253087,1,1,1,1,1,1,1,0
5d09e6e344578a00e02b927d,4,4,1,4,4,0,5,0
5d09e70544578a00e02ed5fc,1,1,1,1,1,1,1,0
5d09e71244578a00e030512b,3,5,4,5,4,0,7,0
5d09e7ab44578a00e033a711,1,1,1,1,1,1,1,0
5d09e7cf44578a00e0367d97,1,1,1,1,4,1,1,0
5d09e7d744578a00e0376ca4,4,4,4,4,4,4,4,0
5d09e84d44578a00e03fc739,1,1,1,1,1,1,1,0
5d09e85c44578a00e040d711,1,1,1,1,1,1,1,0
