question,worker,result,local_time_twitterStyle,local_time_nice,hour,weekday,month
5de45a2144578a15c86b0fba,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de45d6f44578a15c8a47c8d,A3CFNUD7VR2E1E,0,dummy,dummy,dummy,dummy,dummy
5d0ee18244578a1480803892,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5e4bb5fb44578a0948357481,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5e50fd3344578a0948669612,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5d47c48a44578a1f48683081,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ece82f8f46b2b34fc13baeb,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5ecf3cd94d315037d5231a85,ARFAW0SGYEMFL,0,dummy,dummy,dummy,dummy,dummy
5cf9b87e44578a0664bcd44b,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d6ea2b444578a1f4872c34d,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d6ea2a044578a1f487262ba,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d7c2b9544578a1f4854944b,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d21278744578a14a82f400b,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d47b8fd44578a1f48c8d9ad,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d5459af44578a1f48b25b62,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d211f5644578a14a8be2b02,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0dcb8644578a0ea454ae24,A383I2LLYX9LJM,0,dummy,dummy,dummy,dummy,dummy
5d0ecbdf44578a14801b8077,A25OEVVN0293PO,0,dummy,dummy,dummy,dummy,dummy
5d58c48b44578a1f482a51de,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d47acbf44578a1f48ff8eba,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5ebf95eb388f6a36d48d38e6,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0f01f344578a1480c51b4e,AFS04JY1ZARXK,0,dummy,dummy,dummy,dummy,dummy
5cf9774b44578a066411a6dc,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d0a445c44578a00e06ce369,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5de4194444578a15c85c9410,A1Y3PSVSU557SW,0,dummy,dummy,dummy,dummy,dummy
5d34c32d44578a153c187dcf,AWIPMIAD5U5MP,0,dummy,dummy,dummy,dummy,dummy
5cf84fcd44578a066481ed49,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5de42fe444578a15c8c99780,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cf9c51744578a06641b236c,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d0d991d44578a0ea4234555,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ec2d69c388f6a36d4b10c48,A2TUNPP2GOQ1N3,0,dummy,dummy,dummy,dummy,dummy
5ecc4fdcb4700f2ddc05d5f1,A3CFNUD7VR2E1E,0,dummy,dummy,dummy,dummy,dummy
5e3e040844578a094871ba98,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5de4361444578a15c864d222,AFS04JY1ZARXK,0,dummy,dummy,dummy,dummy,dummy
5ec3983d388f6a36d44caa44,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5d9126fb44578a1f48b20b44,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0ebe3144578a14801c7afd,A11GWWAXRJQ6Y2,1,dummy,dummy,dummy,dummy,dummy
5de451b844578a15c8e57a4c,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ec3ad58388f6a36d40fec3c,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0a16b044578a00e0cfd6d9,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5e51a29744578a094893349f,A5BMA5POGL8DW,1,dummy,dummy,dummy,dummy,dummy
5dabbd7b44578a1a24b2a933,A3N5P5VO81FIJ6,0,dummy,dummy,dummy,dummy,dummy
5ec3ab7d388f6a36d4dbae8d,A1FGSZ042NZ694,0,dummy,dummy,dummy,dummy,dummy
5d0efa3f44578a14803e73c5,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de3832744578a1a24965f44,A104V8NZIQFN2F,1,dummy,dummy,dummy,dummy,dummy
5ecf0edd4d3150ef57ff19e5,A2TUNPP2GOQ1N3,0,dummy,dummy,dummy,dummy,dummy
5ecea67df46b2b34fc23c073,A2F8YFFRKK14QD,1,dummy,dummy,dummy,dummy,dummy
5ec3b572388f6a36d4e5848a,AFS04JY1ZARXK,1,dummy,dummy,dummy,dummy,dummy
5d6de80844578a1f4801edea,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ece8373f46b2b34fc29ef23,A34WZL848IKBQU,0,dummy,dummy,dummy,dummy,dummy
5cf8631544578a06643f4d12,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5cf96a6e44578a0664bcee23,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d3cb8d144578a153c2d12c9,A1CF6U3GF7DZEJ,0,dummy,dummy,dummy,dummy,dummy
5d5458e044578a1f48a0360f,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cff068f44578a0664024b8d,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5d0a312244578a00e0ac2dc5,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ec38f02388f6a36d44d712e,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e3e087d44578a0948a0484d,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5e4bb34844578a09481be651,A3P7M9666KJCP,0,dummy,dummy,dummy,dummy,dummy
5ebf7fb0388f6a36d4a8c2ac,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5d0ef9f844578a148036f2a9,A2TUNPP2GOQ1N3,0,dummy,dummy,dummy,dummy,dummy
5de7181244578a15c85878eb,A1Y3PSVSU557SW,1,dummy,dummy,dummy,dummy,dummy
5e38a65944578a094809d315,A34M93NJC830DP,0,dummy,dummy,dummy,dummy,dummy
5d0d96b544578a0ea4e6c4a0,A383I2LLYX9LJM,1,dummy,dummy,dummy,dummy,dummy
5d21373344578a14a8d02947,A3CYV47MM7OA6M,1,dummy,dummy,dummy,dummy,dummy
5e38a6df44578a0948100108,A5BMA5POGL8DW,1,dummy,dummy,dummy,dummy,dummy
5d47b6d344578a1f48973ad9,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0ef22444578a14806359c6,AFS04JY1ZARXK,0,dummy,dummy,dummy,dummy,dummy
5ebf936d388f6a36d45dfb6a,A39ZQZ2T5Z7JSB,1,dummy,dummy,dummy,dummy,dummy
5ecc50e2b4700f2ddc2f69d2,A16FY9L7QTDNRW,1,dummy,dummy,dummy,dummy,dummy
5de45d2f44578a15c89f4710,AFS04JY1ZARXK,0,dummy,dummy,dummy,dummy,dummy
5de440cc44578a15c8e94003,A3CFNUD7VR2E1E,0,dummy,dummy,dummy,dummy,dummy
5ecf36bc4d315037d5210b88,A3CFNUD7VR2E1E,0,dummy,dummy,dummy,dummy,dummy
5d0ec27a44578a148076fc96,A3UBB1LJKDQGZP,1,dummy,dummy,dummy,dummy,dummy
5d544e9244578a1f484e3d1b,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0efd3944578a148061a84d,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e3da48a44578a09489cd184,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5de45d5844578a15c8a2601b,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5d0d9a7044578a0ea435f9ea,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5d7c737744578a1f48919bc7,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e4bca1344578a0948beb4ca,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5d6e52ea44578a1f48e4d3d4,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5e51d1f144578a0948ac92e4,A16FY9L7QTDNRW,1,dummy,dummy,dummy,dummy,dummy
5ec1ef48388f6a36d4e1e7dd,A2UF2FRGVW4T89,0,dummy,dummy,dummy,dummy,dummy
5e4bcc1d44578a0948c50259,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d6e42ab44578a1f48c6a603,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cf862ab44578a066432a90e,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5e3891bc44578a094852b9b6,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5d6e95ce44578a1f485db722,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d1935a044578a14a873423b,A1IN0W8W7ROI0I,1,dummy,dummy,dummy,dummy,dummy
5e51161644578a0948ddc40a,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5ec168a8388f6a36d4dac9fd,A2UF2FRGVW4T89,0,dummy,dummy,dummy,dummy,dummy
5d6e802d44578a1f4837529d,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0dbb6944578a0ea4fd65d9,A383I2LLYX9LJM,1,dummy,dummy,dummy,dummy,dummy
5da252ef44578a1f48a22f38,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ecc5131b4700f2ddc39cc1f,A5BMA5POGL8DW,1,dummy,dummy,dummy,dummy,dummy
5d0ef98b44578a14802cb954,AFS04JY1ZARXK,0,dummy,dummy,dummy,dummy,dummy
5e51fdfcecb9ab1534cbefec,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5d0d987444578a0ea40e89df,A383I2LLYX9LJM,1,dummy,dummy,dummy,dummy,dummy
5e52032aecb9ab1534348487,A2WNW8A4MOR7T7,0,dummy,dummy,dummy,dummy,dummy
5d0ddcdb44578a0ea40056f4,A383I2LLYX9LJM,1,dummy,dummy,dummy,dummy,dummy
5d47afe644578a1f4824c207,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d118f3544578a0ddc660395,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5ecf0f074d3150ef57039762,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5ec39b21388f6a36d4a4f6a0,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5ec3ad5c388f6a36d4109900,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5e3e110d44578a09481d36f4,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5de42c6844578a15c87bf88e,AFS04JY1ZARXK,1,dummy,dummy,dummy,dummy,dummy
5d5a3a6344578a1f48f51cc4,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cfd642444578a066493674c,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5ecf12294d3150ef5758edc2,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cf9c41444578a0664126e80,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ebf8be3388f6a36d4d985e2,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5ecc517ab4700f2ddc471ab0,A2UF2FRGVW4T89,1,dummy,dummy,dummy,dummy,dummy
5e51022444578a0948845177,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5d10235644578a0ddca34a58,A1NF6PELRKACS9,0,dummy,dummy,dummy,dummy,dummy
5ecb59e12e44261eda7e8f54,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cf97cbf44578a066451b1cb,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5ec3a2ab388f6a36d412bfce,A2TUNPP2GOQ1N3,0,dummy,dummy,dummy,dummy,dummy
5d544ede44578a1f4856b441,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de4365944578a15c86c6377,AYFUVCC48YCBZ,0,dummy,dummy,dummy,dummy,dummy
5d0dcf8944578a0ea49e0940,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ebf84b1388f6a36d428a813,A39ZQZ2T5Z7JSB,0,dummy,dummy,dummy,dummy,dummy
5da2473244578a1f48740b6f,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d09b06844578a00e019114c,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5ec38b04388f6a36d4e328ef,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5ec19817388f6a36d4e95055,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5ec39ee8388f6a36d40d4fd6,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e51d83344578a0948e566bb,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d90c32344578a1f4881c3ad,A2YW44YTN5992M,0,dummy,dummy,dummy,dummy,dummy
5d0ef1f844578a14805e69de,A2UF2FRGVW4T89,0,dummy,dummy,dummy,dummy,dummy
5d102e2344578a0ddcdb9230,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d47ba2544578a1f48d57cfd,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de448e044578a15c85d554c,A3R19ZA45J8915,0,dummy,dummy,dummy,dummy,dummy
5d09fe7744578a00e0cab992,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d6ea51444578a1f4875e16d,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0ea16c44578a14805ac67f,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5d0a41cd44578a00e03dbc06,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d908d3844578a1f481d8e95,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cf9654a44578a06646e0a55,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5e4b57a044578a0948c0c904,AEF601SQFOSBL,0,dummy,dummy,dummy,dummy,dummy
5d5a1a1744578a1f487f5486,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de4202944578a15c8bff439,A2TUNPP2GOQ1N3,1,dummy,dummy,dummy,dummy,dummy
5d0ecc3544578a148023b83b,A1CF6U3GF7DZEJ,0,dummy,dummy,dummy,dummy,dummy
5cfd6d2544578a0664dfe559,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ec0ef6b388f6a36d44caeac,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d6dacd844578a1f4845e6a5,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0dde1844578a0ea42a0a31,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d09f0cc44578a00e0730eef,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5cf9a92644578a066447d2b9,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5cf87bc444578a0664a8e38d,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5d0d8da644578a0ea4298578,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5de3477344578a1a245135a9,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5ec3a741388f6a36d47edca1,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de356cb44578a1a24692bde,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5e4c35d244578a0948c640bb,AEF601SQFOSBL,0,dummy,dummy,dummy,dummy,dummy
5d58c39e44578a1f48237719,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ecb24422e44261edaf54fd9,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5d09e0af44578a00e0f663bd,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5e51de1244578a094807d295,A2WNW8A4MOR7T7,1,dummy,dummy,dummy,dummy,dummy
5ece9b85f46b2b34fc40ae5c,A3GUJ6JD25FX7O,0,dummy,dummy,dummy,dummy,dummy
5d09c85544578a00e02831a1,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5ec0453d388f6a36d4df33a7,A16FY9L7QTDNRW,1,dummy,dummy,dummy,dummy,dummy
5ecb1d4d2e44261eda7aa7a5,A2KJ983WWTEK4L,0,dummy,dummy,dummy,dummy,dummy
5cf97a0144578a066432528e,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ece9accf46b2b34fc2dd8b1,ARFAW0SGYEMFL,0,dummy,dummy,dummy,dummy,dummy
5ec39b1f388f6a36d4a4b59b,A2A2VSZ2C8PC19,1,dummy,dummy,dummy,dummy,dummy
5d8ff1f344578a1f482ba896,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5cf8780644578a0664674b4b,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ec3b140388f6a36d46f34ff,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5e511f0044578a094827ae53,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5d9f903d44578a1f48ccbe9a,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de70fc344578a15c80d32a0,AJ2H4FUPQKF9E,1,dummy,dummy,dummy,dummy,dummy
5d0de7c744578a0ea49e80a8,A383I2LLYX9LJM,0,dummy,dummy,dummy,dummy,dummy
5d09daa744578a00e0ad6f5f,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5e3dc2a944578a0948dbb525,A2UF2FRGVW4T89,0,dummy,dummy,dummy,dummy,dummy
5e51e14e44578a0948266c10,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e4bc16b44578a09487a151a,A3P7M9666KJCP,1,dummy,dummy,dummy,dummy,dummy
5ec16be0388f6a36d4142971,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5e4c3b0644578a0948ef55ca,AMC42JMQA8A5U,0,dummy,dummy,dummy,dummy,dummy
5ebf8ed9388f6a36d430de56,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5de70f2744578a15c800cbf5,A3CFNUD7VR2E1E,1,dummy,dummy,dummy,dummy,dummy
5ecc5190b4700f2ddc4accc4,A2F8YFFRKK14QD,0,dummy,dummy,dummy,dummy,dummy
5e51211244578a094839bd1c,AWIPMIAD5U5MP,0,dummy,dummy,dummy,dummy,dummy
5d09db7c44578a00e0b7f296,A383I2LLYX9LJM,1,dummy,dummy,dummy,dummy,dummy
5e51f05144578a09488ffd49,A1CF6U3GF7DZEJ,1,dummy,dummy,dummy,dummy,dummy
5d34b9db44578a153c907f06,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0ea57744578a14807ac248,A21AVVEQUEX7DA,1,dummy,dummy,dummy,dummy,dummy
5ec0ee38388f6a36d4249752,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5ecf0d324d3150ef57d301c2,ARFAW0SGYEMFL,1,dummy,dummy,dummy,dummy,dummy
5d2f89b644578a0d74bc0738,AYJGJAIY0EXW,0,dummy,dummy,dummy,dummy,dummy
5e3898b744578a0948976bca,ARFAW0SGYEMFL,0,dummy,dummy,dummy,dummy,dummy
5e3da4b844578a09489dbaad,A610SH5RY1NG1,1,dummy,dummy,dummy,dummy,dummy
5d47b18844578a1f483e4d40,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e4c188344578a0948fcc79b,AWIPMIAD5U5MP,0,dummy,dummy,dummy,dummy,dummy
5cf9868844578a0664b07a16,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5cf8627544578a06642b449c,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5e4bb41444578a0948227199,AL8NYDL4JOYL3,0,dummy,dummy,dummy,dummy,dummy
5d09bc4e44578a00e0c05310,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5e3dabee44578a0948e65173,A3GUJ6JD25FX7O,0,dummy,dummy,dummy,dummy,dummy
5e51ee9544578a09487ece51,A2WNW8A4MOR7T7,0,dummy,dummy,dummy,dummy,dummy
5ec395fd388f6a36d427d63c,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0f024044578a1480cc989f,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d09a83f44578a00e0c7af70,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5de4568444578a15c83abd96,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5d90c33744578a1f4882e660,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e3de0b944578a0948e8f12e,A104V8NZIQFN2F,1,dummy,dummy,dummy,dummy,dummy
5e5201a7ecb9ab153406b083,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5d0a312144578a00e0abfd9d,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5d0a455944578a00e07d02f1,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5d34d82744578a153c639f07,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0eeb6b44578a14802f69bf,A1NF6PELRKACS9,0,dummy,dummy,dummy,dummy,dummy
5e4c32b544578a0948b0eb08,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5de2edd644578a1a2400d6d3,AEF601SQFOSBL,1,dummy,dummy,dummy,dummy,dummy
5d2f8b2644578a0d74d9ef31,AWIPMIAD5U5MP,0,dummy,dummy,dummy,dummy,dummy
5cf99cd544578a0664ae5ac8,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5ecb59cf2e44261eda7b9a1d,A3P7M9666KJCP,1,dummy,dummy,dummy,dummy,dummy
5ecb1b312e44261eda41e903,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5d90827044578a1f480ccfa9,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5e51f07044578a094891f2f2,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d53023044578a1f4822aea8,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5d47b87344578a1f48be6c3a,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de7128844578a15c81d9681,A1Y3PSVSU557SW,1,dummy,dummy,dummy,dummy,dummy
5e3da6e644578a0948b002d3,A104V8NZIQFN2F,1,dummy,dummy,dummy,dummy,dummy
5d2f8f2744578a0d742c1e26,A3GUJ6JD25FX7O,0,dummy,dummy,dummy,dummy,dummy
5dab61a844578a097c8b37e0,A18HJUV1B1FVQC,0,dummy,dummy,dummy,dummy,dummy
5ecc524cb4700f2ddc69c317,A16FY9L7QTDNRW,0,dummy,dummy,dummy,dummy,dummy
5d0a30d644578a00e0a74b9d,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d9988fc44578a1f48c462fa,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e50e37f44578a0948be64af,AM2W23THD4CI7,0,dummy,dummy,dummy,dummy,dummy
5ec392b9388f6a36d4be02a2,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5d3cc89744578a153c325f54,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ec1c1fd388f6a36d47017ac,AI6VJYDFQ90ME,1,dummy,dummy,dummy,dummy,dummy
5ec3abe7388f6a36d4eab445,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d09a32a44578a00e0b2eb56,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5de4296f44578a15c843df5a,AYFUVCC48YCBZ,0,dummy,dummy,dummy,dummy,dummy
5d908e3244578a1f481fb5ef,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
