,iid,A1,A2,A3,age,sex,org,hour,weekday,result,truth
59,5d6e31b344578a1f48a19132,0,0,1,>=40,male,non-org,15,Fri,0,0
60,5d8fbfd044578a1f48c7ac58,0,0,0,>=40,male,non-org,19,Wed,0,0
61,5ece8914f46b2b34fce4a35f,0,0,0,>=40,male,is-org,22,Thu,0,0
62,5ece8915f46b2b34fce4d05a,0,0,0,>=40,male,is-org,09,Wed,0,0
63,5ecea25ff46b2b34fcf113ef,1,0,0,>=40,male,is-org,09,Wed,0,0
64,5ece8924f46b2b34fce6d5d1,0,1,0,<=18,male,is-org,20,Thu,0,1
65,5ece8933f46b2b34fce8c546,1,1,1,30-39,female,non-org,20,Thu,1,1
66,5d90afc044578a1f485915ab,0,1,0,30-39,female,non-org,09,Sun,0,0
67,5d09d39344578a00e07ac5d7,1,1,0,30-39,female,non-org,18,Thu,1,1
68,5d0d8c9e44578a0ea413d4ef,1,1,0,30-39,female,non-org,10,Wed,1,1
69,5d09abea44578a00e0dbe4d2,1,1,1,30-39,female,non-org,06,Mon,1,1
70,5ece895bf46b2b34fced014c,1,1,1,<=18,female,non-org,22,Thu,1,1
71,5ece8961f46b2b34fced8abf,0,0,0,19-29,male,non-org,22,Thu,0,0
72,5ece8a20f46b2b34fc0044af,0,0,0,30-39,male,is-org,11,Fri,0,0
73,5ece8ab4f46b2b34fc0ecaa1,1,0,0,>=40,male,is-org,13,Fri,0,0
74,5ece8ad4f46b2b34fc122497,1,1,1,30-39,female,non-org,13,Fri,1,1
75,5ece8ae7f46b2b34fc13f81d,0,0,0,>=40,male,non-org,17,Fri,0,0
76,5d09db7f44578a00e0b85640,0,0,0,>=40,male,non-org,21,Fri,0,0
77,5ece8ae9f46b2b34fc143449,0,0,0,>=40,male,is-org,14,Fri,0,0
78,5ece8aeff46b2b34fc14c349,1,1,0,19-29,female,non-org,17,Fri,1,0
79,5ec39bd7388f6a36d4bf7bd6,0,0,0,19-29,female,non-org,17,Fri,0,0
80,5ece8af1f46b2b34fc150d38,1,0,0,>=40,female,non-org,17,Fri,0,1
81,5d1935a044578a14a873423b,1,1,0,>=40,female,non-org,23,Sat,1,1
82,5cf875be44578a0664383dc6,0,1,1,>=40,female,non-org,15,Sun,1,0
83,5ece99f7f46b2b34fc1808db,0,0,0,30-39,male,non-org,13,Sat,0,1
84,5ec39386388f6a36d4dc4ac9,0,1,0,30-39,male,non-org,13,Sat,0,1
85,5ece9a04f46b2b34fc1974cf,1,1,1,>=40,female,non-org,12,Sat,1,1
86,5ec393de388f6a36d4e26817,1,1,1,>=40,female,non-org,12,Sat,1,1
87,5ece9a06f46b2b34fc19a93e,1,1,1,19-29,male,is-org,14,Sat,1,1
88,5e51ebf244578a09486852c0,0,0,0,19-29,male,is-org,10,Fri,0,0
89,5ece9a14f46b2b34fc1b0bda,0,0,0,>=40,male,is-org,13,Sat,0,0
90,5ece9a16f46b2b34fc1b3392,1,1,1,>=40,male,non-org,15,Sat,1,1
91,5e5203cdecb9ab153448aeb8,0,0,0,>=40,male,non-org,14,Sat,0,0
92,5ece9a19f46b2b34fc1b7fd7,0,0,0,>=40,male,is-org,15,Sat,0,0
93,5ece9a23f46b2b34fc1c921f,1,1,1,>=40,male,non-org,15,Sat,1,1
94,5ece9a70f46b2b34fc246bdc,1,1,1,>=40,male,non-org,18,Sat,1,1
95,5e51b95844578a094801baa8,1,0,0,>=40,male,non-org,14,Sat,0,1
96,5ece9accf46b2b34fc2dd8b1,0,0,0,30-39,female,non-org,22,Sat,0,0
97,5ece9b85f46b2b34fc40ae5c,0,0,0,>=40,female,non-org,07,Sun,0,0
98,5ece9be4f46b2b34fc4a797b,0,0,0,>=40,male,non-org,10,Sun,0,0
99,5ece9c71f46b2b34fc592a99,1,1,1,30-39,male,non-org,16,Sun,1,1
100,5ecf0e8a4d3150ef57f649b2,1,1,1,30-39,male,non-org,10,Thu,1,1
101,5ec3af96388f6a36d443b0ab,1,1,1,30-39,male,non-org,15,Sun,1,1
102,5de45d5844578a15c8a2601b,1,1,1,30-39,male,non-org,09,Sat,1,1
103,5d54590644578a1f48a1e7d5,1,1,1,30-39,male,non-org,08,Sat,1,1
104,5d7c6fdc44578a1f488b08db,1,1,1,30-39,male,non-org,09,Sun,1,1
105,5ece9c86f46b2b34fc5b7a97,1,0,1,19-29,female,non-org,16,Sun,1,0
106,5ece9c8df46b2b34fc5c488e,1,1,1,30-39,female,non-org,14,Sun,1,1
107,5de36e0044578a1a248244fe,1,1,1,30-39,female,non-org,06,Fri,1,1
108,5ece9cb8f46b2b34fc60dabd,0,0,0,19-29,male,non-org,15,Sun,0,0
109,5ece9d19f46b2b34fc6b1712,1,0,0,30-39,female,non-org,20,Sun,0,0
110,5ec168d8388f6a36d4df5110,0,0,1,30-39,female,non-org,14,Sat,0,0
111,5ece9dbff46b2b34fc7b9722,0,0,0,<=18,male,non-org,07,Mon,0,0
112,5ece9dddf46b2b34fc7ec8f7,0,0,0,30-39,male,non-org,08,Mon,0,0
113,5ece9de3f46b2b34fc7f5d7b,0,0,0,30-39,male,non-org,dummy,dummy,0,0
114,5ece9e06f46b2b34fc82f08f,1,0,0,>=40,male,is-org,10,Mon,0,0
115,5ece9e9af46b2b34fc913430,0,0,0,19-29,female,non-org,14,Mon,0,0
116,5ece9ed9f46b2b34fc97aa43,0,0,1,>=40,female,non-org,16,Mon,0,0
117,5ec39d52388f6a36d4e572a3,0,0,0,>=40,female,non-org,16,Mon,0,0
118,5ece9eeaf46b2b34fc9979e9,0,0,0,30-39,male,non-org,18,Mon,0,0
119,5ece9f2ff46b2b34fca09cdb,0,0,0,19-29,male,non-org,21,Mon,0,0
120,5ece9f76f46b2b34fca7ac43,0,0,0,>=40,male,non-org,20,Mon,0,0
121,5ece9f83f46b2b34fca90d61,0,0,0,>=40,male,non-org,00,Tue,0,0
122,5d91988744578a1f484c51b8,0,0,0,>=40,male,non-org,09,Mon,0,0
123,5ece9f8bf46b2b34fca9f245,0,0,1,30-39,male,non-org,22,Mon,0,0
124,5ecea00df46b2b34fcb7273e,1,1,0,19-29,female,non-org,04,Tue,1,1
125,5ecea03cf46b2b34fcbb49f5,0,0,0,>=40,male,non-org,08,Tue,0,0
126,5ecea10df46b2b34fcc27057,1,1,1,19-29,female,non-org,11,Tue,1,1
127,5ecea10ff46b2b34fcc2d9dc,0,0,0,>=40,male,non-org,15,Tue,0,0
128,5ecea11df46b2b34fcc5b7e1,0,0,0,30-39,female,non-org,16,Tue,0,0
129,5d0f014744578a1480b9801e,1,0,1,30-39,female,non-org,13,Wed,1,1
130,5ecea12ef46b2b34fcc98723,1,1,1,30-39,female,non-org,13,Tue,1,1
131,5d09b32f44578a00e05ddc21,1,1,1,30-39,female,non-org,13,Sun,1,1
132,5ecea12ef46b2b34fcc98935,0,0,0,30-39,female,non-org,11,Tue,0,0
133,5e4bb5fb44578a0948357481,1,0,1,30-39,female,non-org,22,Fri,1,1
134,5ecea145f46b2b34fccdee2f,1,0,0,>=40,male,is-org,20,Tue,0,0
135,5d9f80f844578a1f4882bb3a,0,0,0,>=40,male,is-org,13,Mon,0,0
136,5ecea15ff46b2b34fcd2681e,0,0,0,19-29,male,non-org,21,Tue,0,0
137,5d0ef5bb44578a1480c997b9,0,0,0,19-29,male,non-org,18,Mon,0,0
138,5ecea170f46b2b34fcd5ca3a,1,0,0,30-39,female,is-org,19,Tue,0,0
139,5ecb3b9d2e44261eda6f24bb,1,1,0,30-39,female,is-org,19,Mon,1,1
140,5ec16d12388f6a36d42d0162,1,0,0,30-39,female,is-org,19,Sun,0,1
141,5e4c17e344578a0948f5df82,0,1,0,30-39,female,is-org,21,Wed,0,0
142,5e4c224044578a09484b08ad,0,0,0,30-39,female,is-org,10,Thu,0,0
143,5de2a4fe44578a1a2477146f,0,0,0,30-39,female,is-org,18,Sat,0,0
144,5de4585444578a15c85292bf,1,1,0,30-39,female,is-org,20,Thu,1,1
145,5d7c3f7244578a1f48a5c147,0,0,0,30-39,female,is-org,21,Wed,0,0
146,5d118ee744578a0ddc5cba1d,1,1,1,30-39,female,is-org,12,Mon,1,1
147,5d09b37d44578a00e066b07c,0,1,1,30-39,female,is-org,20,Wed,1,1
148,5d0a2f1e44578a00e092f256,1,1,0,30-39,female,is-org,11,Sat,1,1
149,5d0a3ede44578a00e01f18e9,0,1,0,30-39,female,is-org,10,Thu,0,1
150,5d0a2f5844578a00e096d2b9,1,1,1,30-39,female,is-org,12,Sat,1,1
151,5d0de64e44578a0ea4885a5c,1,1,1,30-39,female,is-org,20,Mon,1,1
152,5cfd65d844578a0664a51278,0,0,1,30-39,female,is-org,13,Tue,0,1
153,5cf97a3544578a066435d3ee,0,0,0,30-39,female,is-org,19,Sun,0,0
154,5ecea1b4f46b2b34fcdf25c2,1,1,1,<=18,male,non-org,22,Tue,1,1
155,5ec3a59d388f6a36d460164d,1,1,1,<=18,male,non-org,22,Tue,1,1
156,5ecea1baf46b2b34fcdfcb38,0,0,0,<=18,male,non-org,00,Wed,0,0
157,5e50cf6844578a09488342a8,0,0,1,<=18,male,non-org,09,Fri,0,0
158,5ecea1c1f46b2b34fce0873d,0,0,0,<=18,female,non-org,23,Tue,0,0
159,5de43ee144578a15c8c444c7,0,0,0,<=18,female,non-org,00,Sun,0,0
160,5ecea232f46b2b34fcec89f7,0,0,0,>=40,male,non-org,07,Wed,0,0
161,5ecea25ef46b2b34fcf0f5da,0,0,0,>=40,male,is-org,09,Wed,0,0
162,5ecea261f46b2b34fcf13ef9,0,0,0,19-29,female,non-org,09,Wed,0,0
163,5ecea2cdf46b2b34fcfcbc46,0,0,0,30-39,male,non-org,12,Wed,0,0
164,5ecea882f46b2b34fc704d71,0,0,0,30-39,male,non-org,12,Thu,0,0
165,5d0dd22544578a0ea4e81e09,0,0,0,30-39,male,non-org,23,Thu,0,0
166,5ecea5daf46b2b34fc094ef6,0,0,0,>=40,male,is-org,16,Wed,0,0
167,5ecea5f0f46b2b34fc0cce0a,1,0,1,30-39,female,non-org,18,Wed,1,1
168,5ec3a3db388f6a36d42d53f4,1,0,0,30-39,female,non-org,18,Wed,0,1
169,5ecea618f46b2b34fc133f4d,0,1,0,19-29,male,non-org,18,Wed,0,0
170,5ecea61ef46b2b34fc144afc,0,0,0,30-39,male,non-org,16,Fri,0,1
171,5d21320844578a14a8a7f08a,1,1,0,30-39,male,non-org,06,Wed,1,1
172,5ecea647f46b2b34fc1b2558,0,0,0,>=40,female,non-org,15,Fri,0,1
173,5e51ee9544578a09487ece51,0,0,0,>=40,female,non-org,18,Tue,0,0
174,5d0ff7f944578a0ddc6a1a89,0,1,0,>=40,female,non-org,20,Wed,0,1
175,5ecea64ff46b2b34fc1c6f20,0,0,0,19-29,male,non-org,17,Wed,0,0
176,5ecea660f46b2b34fc1f3c40,0,1,0,19-29,male,non-org,17,Wed,0,1
177,5ecea67df46b2b34fc23c073,1,1,0,30-39,female,non-org,19,Fri,1,0
178,5ecea718f46b2b34fc3b36b1,0,0,0,>=40,male,non-org,00,Sat,0,0
179,5ecea772f46b2b34fc486f6b,0,0,0,19-29,female,is-org,06,Thu,0,0
180,5ecea7bcf46b2b34fc545eb5,0,1,1,30-39,male,non-org,07,Sat,1,1
181,5ecea7cff46b2b34fc5758e8,1,0,1,19-29,female,non-org,10,Thu,1,1
182,5ecea7d8f46b2b34fc589b2d,0,0,0,19-29,male,non-org,07,Sat,0,1
183,5ecea803f46b2b34fc5efd8e,1,0,0,<=18,female,non-org,10,Thu,0,1
184,5ecea823f46b2b34fc640230,0,1,1,>=40,male,non-org,06,Sat,1,1
185,5e50f85844578a09484eb8ed,0,0,0,>=40,male,non-org,13,Tue,0,0
186,5ecea833f46b2b34fc66a6f7,0,1,1,>=40,female,non-org,13,Thu,1,1
187,5ecea885f46b2b34fc70db05,0,0,0,30-39,female,non-org,13,Thu,0,0
188,5ecea8a5f46b2b34fc757bca,0,0,0,30-39,male,non-org,14,Sat,0,0
189,5ecea8b9f46b2b34fc789557,0,0,1,>=40,male,non-org,12,Sat,0,0
190,5ecea8c2f46b2b34fc79e2cd,0,0,0,>=40,male,non-org,13,Sat,0,0
191,5ec3af4c388f6a36d43c6065,0,0,0,>=40,male,non-org,13,Sat,0,0
192,5ecea8d6f46b2b34fc7d0ef1,1,1,1,30-39,female,non-org,14,Sat,1,1
193,5ecea97ff46b2b34fc900b86,0,0,0,19-29,male,non-org,19,Thu,0,0
194,5ecea985f46b2b34fc90aa5f,0,0,0,>=40,male,non-org,22,Thu,0,0
195,5ec2c8f6388f6a36d42da8ee,0,0,0,>=40,male,non-org,21,Thu,0,0
196,5ec3b140388f6a36d46f34ff,0,0,0,>=40,male,non-org,22,Thu,0,0
197,5ecea9b1f46b2b34fc951dcb,0,0,0,30-39,male,non-org,23,Thu,0,1
198,5ec3b1a2388f6a36d47cbdbc,0,0,0,30-39,male,non-org,23,Thu,0,1
199,5eceaa8ef46b2b34fcabd189,1,1,1,19-29,female,non-org,11,Fri,1,1
200,5eceaa94f46b2b34fcac8123,1,1,1,30-39,female,is-org,11,Fri,1,1
201,5eceaaa9f46b2b34fcaea616,0,0,0,>=40,male,is-org,12,Fri,0,0
202,5ecead92f46b2b34fcb62e27,0,0,0,>=40,male,is-org,16,Sat,0,0
203,5ecf3ce34d315037d5243d41,0,0,0,>=40,male,is-org,16,Sat,0,0
204,5e4b9ce244578a0948608909,0,0,0,>=40,male,is-org,10,Sat,0,0
205,5ecead92f46b2b34fcb631c6,0,0,0,19-29,female,non-org,11,Wed,0,0
206,5ecead9cf46b2b34fcb79fe7,0,0,0,>=40,male,is-org,12,Wed,0,0
207,5ecf0c4d4d3150ef57bcda59,0,0,0,>=40,female,non-org,09,Wed,0,0
208,5ecf0cbf4d3150ef57c70f09,0,0,1,19-29,female,non-org,11,Wed,0,0
209,5ebf7d11388f6a36d4649059,0,0,0,19-29,female,non-org,03,Wed,0,0
210,5ecf0cc64d3150ef57c7c162,1,1,0,>=40,male,non-org,12,Wed,1,1
211,5ecf0cdf4d3150ef57ca63ea,0,1,0,30-39,female,non-org,15,Wed,0,0
212,5ecf0cfd4d3150ef57cd8573,0,1,0,19-29,female,non-org,14,Wed,0,0
213,5e4b787944578a094862da83,0,0,1,19-29,female,non-org,18,Mon,0,1
214,5ecf0d184d3150ef57d04e25,1,0,1,<=18,male,is-org,16,Wed,1,1
215,5ecf10074d3150ef571ec1e0,0,0,1,<=18,male,is-org,21,Thu,0,0
216,5ec3a9bf388f6a36d4a3caab,1,0,0,<=18,male,is-org,22,Sat,0,1
217,5d8fbaf144578a1f48bfaf92,0,0,0,<=18,male,is-org,15,Mon,0,0
218,5ecf0d304d3150ef57d2ccfa,0,1,0,19-29,female,non-org,16,Wed,0,1
219,5ecf0d324d3150ef57d301c2,1,1,1,>=40,male,non-org,20,Wed,1,1
220,5ecf0d364d3150ef57d377d5,0,0,0,>=40,male,non-org,19,Wed,0,0
221,5ecb1cde2e44261eda6e6eee,0,0,0,>=40,male,non-org,14,Sun,0,0
222,5ecf0d764d3150ef57d9e8e0,0,0,0,19-29,male,non-org,19,Wed,0,0
223,5ecf0da14d3150ef57de5d4c,0,0,0,>=40,male,is-org,21,Wed,0,0
224,5ecf0da34d3150ef57de894b,0,1,1,19-29,female,non-org,23,Wed,1,0
225,5ecf0e3b4d3150ef57ee2529,0,0,0,>=40,female,non-org,06,Thu,0,0
226,5ec3ad5c388f6a36d4109900,0,0,0,>=40,female,non-org,06,Thu,0,0
227,5ecf0e824d3150ef57f56f0e,1,1,0,19-29,male,non-org,06,Thu,1,1
228,5ecf0e8a4d3150ef57f642b8,0,0,1,>=40,male,non-org,07,Thu,0,1
229,5ecf0ed74d3150ef57fe85bb,0,1,0,30-39,male,non-org,12,Thu,0,0
230,5ecf0edd4d3150ef57ff19e5,0,0,0,>=40,male,non-org,13,Thu,0,0
231,5ec3b052388f6a36d4520016,0,0,1,>=40,male,non-org,13,Thu,0,0
232,5ecf0ef34d3150ef570182fa,0,0,1,<=18,female,non-org,14,Thu,0,0
233,5ecf0efe4d3150ef57029430,1,0,1,19-29,male,non-org,15,Thu,1,1
234,5e4bc55144578a09489bb193,0,0,0,19-29,male,non-org,23,Mon,0,0
235,5ecf0f074d3150ef57039762,0,0,0,>=40,male,non-org,14,Thu,0,0
236,5d544e9244578a1f484e3d1b,0,0,0,>=40,male,non-org,04,Mon,0,0
237,5ecf0f7a4d3150ef571007d9,0,0,0,30-39,male,non-org,16,Thu,0,0
238,5ecf10474d3150ef5725803d,0,0,0,>=40,male,non-org,02,Fri,0,0
239,5ecf10d14d3150ef5734122a,0,0,0,30-39,male,non-org,08,Fri,0,0
240,5ec3b572388f6a36d4e5848a,1,1,0,30-39,male,non-org,08,Fri,1,0
241,5ecf11144d3150ef573b4185,1,1,1,30-39,female,non-org,12,Fri,1,1
242,5ecf119d4d3150ef5749cf16,0,1,1,30-39,female,non-org,18,Fri,1,0
243,5ec3b69a388f6a36d40db287,1,0,1,30-39,female,non-org,18,Fri,1,1
244,5ecf119e4d3150ef5749e5af,1,1,0,30-39,male,non-org,16,Fri,1,1
245,5ecf11fb4d3150ef5753f2da,0,0,0,>=40,male,non-org,19,Fri,0,0
246,5e4b005644578a0948768e3d,0,0,0,>=40,male,non-org,16,Tue,0,0
247,5ecf12314d3150ef5759c32d,0,0,0,>=40,male,non-org,22,Fri,0,0
248,5ecf127b4d3150ef5761970f,0,0,0,30-39,male,non-org,00,Sat,0,0
249,5ecf136e4d3150ef577afc41,0,0,0,>=40,male,non-org,11,Sat,0,0
250,5ecf13c34d3150ef5783f4f8,1,1,0,30-39,male,non-org,14,Sat,1,1
251,5ecf193c4d3150ef57890c94,0,0,0,>=40,male,non-org,19,Sat,0,0
252,5ecf20c24d315037d5d65c58,0,0,0,19-29,male,non-org,16,Sat,0,0
253,5ecf35164d315037d5e737c4,1,1,1,>=40,male,non-org,08,Tue,1,1
254,5ecf35574d315037d5f15c95,0,0,0,30-39,male,non-org,13,Tue,0,0
255,5cf9984044578a066489cfc7,0,0,0,30-39,male,non-org,17,Fri,0,0
256,5cf8784f44578a06646fd853,0,0,0,30-39,male,non-org,13,Mon,0,0
257,5ecf35714d315037d5f54774,1,1,0,30-39,male,non-org,19,Tue,1,1
258,5e51c1c344578a09484a1c36,1,1,1,30-39,male,non-org,11,Sun,1,1
259,5d47c1a244578a1f484ad5ca,1,1,1,30-39,male,non-org,11,Sun,1,1
260,5d12b45b44578a0ddc1fb309,0,0,0,30-39,male,non-org,10,Sun,0,0
261,5d0db2fc44578a0ea47d7bdb,1,1,1,30-39,male,non-org,21,Sat,1,1
262,5cf97a0144578a066432528e,1,1,1,30-39,male,non-org,21,Sun,1,1
263,5ecf35b14d315037d5f816d3,1,0,0,19-29,male,non-org,22,Tue,0,1
264,5de70d3c44578a15c8dd8915,1,1,0,19-29,male,non-org,18,Tue,1,1
265,5cfd657944578a0664a02f49,0,0,0,19-29,male,non-org,10,Tue,0,0
266,5ecf35d24d315037d5fee3ca,1,1,1,30-39,female,non-org,15,Tue,1,1
267,5ecf35f74d315037d50598c8,0,0,0,19-29,female,non-org,21,Tue,0,0
268,5ecf361a4d315037d50b4da9,1,0,1,30-39,male,non-org,22,Tue,1,0
269,5ecf364c4d315037d512acd9,1,1,1,30-39,female,non-org,07,Wed,1,1
270,5ecb5d9e2e44261edaf65656,1,0,0,30-39,female,non-org,08,Thu,0,1
271,5ecb5e372e44261eda069acf,1,1,1,30-39,female,non-org,08,Fri,1,1
272,5ecf36684d315037d5169b7d,0,0,0,19-29,male,non-org,22,Tue,0,0
273,5ecf36954d315037d51c32dd,0,0,1,>=40,male,is-org,09,Wed,0,0
274,5ecf36bc4d315037d5210b88,0,0,0,>=40,male,non-org,17,Sat,0,0
275,5ecf3cd94d315037d5231a85,0,0,0,>=40,female,non-org,15,Sat,0,0
276,5ecf3ce04d315037d523f045,0,1,0,19-29,male,non-org,18,Sat,0,0
277,5ecfc6614d315037d53a6c9c,1,0,0,30-39,female,non-org,11,Wed,0,0
278,5ecfc6bd4d315037d54a6d1a,1,0,0,30-39,male,non-org,01,Thu,0,0
279,5ecfc7394d315037d5581c04,0,0,0,30-39,female,non-org,08,Thu,0,1
280,5ecf33eb4d315037d5e0846e,1,1,0,30-39,female,non-org,12,Mon,1,1
281,5ec16bd7388f6a36d4137186,1,1,1,30-39,female,non-org,12,Sun,1,1
282,5ecc4ee1b4700f2ddcdc1dfb,0,1,1,19-29,female,non-org,12,Sat,1,1
283,5ecc4f1fb4700f2ddce7d834,1,1,1,>=40,male,non-org,22,Fri,1,1
284,5e51d12c44578a0948a2d423,0,0,0,>=40,male,non-org,23,Mon,0,0
285,5ecc4f3cb4700f2ddcec6333,0,0,0,>=40,male,non-org,08,Wed,0,0
286,5ecb55cf2e44261eda126682,0,0,0,>=40,male,non-org,08,Sun,0,0
287,5ecb56352e44261eda1d6af8,0,0,0,>=40,male,non-org,07,Mon,0,0
288,5ecb59832e44261eda6ff58a,0,0,1,>=40,male,non-org,15,Sun,0,0
289,5ec2ba31388f6a36d41e8589,1,0,1,>=40,male,non-org,11,Thu,1,1
290,5ec2d798388f6a36d4be3670,0,0,0,>=40,male,non-org,06,Sun,0,0
291,5ec39112388f6a36d4903238,0,0,0,>=40,male,non-org,08,Mon,0,0
292,5ebf9649388f6a36d49684b5,0,0,0,>=40,male,non-org,14,Sun,0,0
293,5e50b09044578a0948316768,0,0,0,>=40,male,non-org,18,Mon,0,0
294,5e50e2f944578a0948bd1411,0,0,0,>=40,male,non-org,06,Tue,0,0
295,5e51d3e544578a0948c547a2,0,0,0,>=40,male,non-org,06,Tue,0,0
296,5e51f13f44578a09489f0bea,0,0,0,>=40,male,non-org,15,Sat,0,0
297,5e520551ecb9ab15347605fc,0,0,0,>=40,male,non-org,16,Thu,0,0
298,5d47bb4f44578a1f48ed9689,0,0,0,>=40,male,non-org,18,Sun,0,0
299,5d52e72044578a1f48a35d6b,0,0,0,>=40,male,non-org,08,Mon,0,0
300,5d52ff9e44578a1f48043309,0,0,0,>=40,male,non-org,04,Thu,0,0
301,5d544ede44578a1f4856b441,0,0,0,>=40,male,non-org,06,Mon,0,0
302,5d5458e044578a1f48a0360f,0,0,0,>=40,male,non-org,08,Sat,0,0
