A1,A2,A3,hour,weekday,truth,month,age,sex,org,RMV,REM,RGLAD,RLFC,text
0,1,0,11,Sun,0,06,<=18,female,non-org,0,0,0,0,@short_ride Thank you for this empowering message of encouragement I will sleep when my heart desires! Screw society
0,0,0,17,Tue,0,09,<=18,female,non-org,0,0,0,0,I can't believe zoe was sleeping in my grade can this morning. I love her so much omg
0,0,0,14,Tue,0,12,>=40,female,non-org,0,0,0,0,I went to bed before 1230am last night! I needed the sleep ....i woke up at 10am! Then the phone rang 🎄💕
1,0,0,14,Wed,0,09,>=40,female,non-org,0,0,0,0,@brenthathaway Thanks Brent..it's not too bad right now...dr figs i need more sleep...did last night!
0,0,0,02,Sun,0,04,>=40,female,non-org,0,0,0,0,"Good night, sleep tight, and pleesant dreams to you..' 🎶🎤"
1,1,1,17,Tue,0,12,30-39,male,non-org,1,1,1,1,Fall asleep in between games
0,0,0,15,Tue,0,12,19-29,male,non-org,0,0,0,0,I’m so proud of myself for recording thoughts I have in the middle of the night because I know I’ll forget them in… https://t.co/zEC5xtvK81
1,1,0,06,Wed,1,12,30-39,female,non-org,1,1,1,1,Shared a room with mum last night. She can't sleep with the lights off. I can't sleep with the lights on. So we com… https://t.co/4LQo7NQroD
1,0,1,14,Sun,0,04,30-39,female,non-org,1,0,0,0,I'll fall asleep on this bus and miss my stop if I'm not careful 😴
1,0,1,00,Thu,0,09,30-39,female,non-org,1,0,0,0,Want someone to tuck me in bed and stroke my hair until I fall asleep.
0,0,0,12,Thu,0,01,30-39,male,non-org,0,0,0,0,SAVING EARTH DAY 51. I JUST GOT IN FROM NIGHT SHIFT. IM GOING TO CATCH SOME SLEEP. BE SAFE HAVE A GREAT DAY
0,0,0,14,Wed,0,12,>=40,male,non-org,0,0,0,0,"@insomniacgames I love Spider-Man, I really do...but what is up with this final screwball mission? Easily the most… https://t.co/I8P7jiHcHO"
0,1,0,04,Fri,0,12,>=40,male,non-org,0,0,0,0,"Well, hello 4:30 am! Falling asleep at 8 and having a weirdly religious dream seem to have caused us to be awake it seems."
0,0,0,00,Fri,0,12,>=40,male,non-org,0,0,0,0,@rashi_kakkar Perfect cure for insomnia 😊
0,0,0,01,Fri,0,12,<=18,female,non-org,0,0,0,0,Can I just sleep my problems away 😒
0,0,0,02,Fri,0,12,<=18,female,non-org,0,0,0,0,"Goodnight I love you all, sleep well"
0,0,0,03,Fri,0,12,<=18,male,non-org,0,0,0,0,@EricMulder84 good night I am going to sleep
0,0,0,02,Fri,0,12,19-29,female,non-org,0,0,0,0,Flying from Tokyo to Vancouver means my Dec 27 was 32 hours long and I slept from 3-11pm when I got home. Bet this… https://t.co/1UsRn7Yu0Q
0,0,0,19,Fri,0,01,>=40,male,non-org,0,0,0,0,14-0 run for the Nets. Gee bus. So much for giving the Raptors starters the rest of the night off.
0,1,0,19,Fri,1,12,19-29,female,non-org,0,1,1,1,So when I was falling asleep christmas day I got SUUUUPER dizzy and then passed out and my left hand has been mostl… https://t.co/j7l16fQh0m
0,0,1,02,Sat,0,01,<=18,male,non-org,0,0,1,0,hello friends I am working in 4 hours and I am going to sleep
0,0,1,08,Sat,0,01,>=40,male,non-org,0,0,1,0,@KroneBall @LillestromSK @ValerengaOslo Thankfully @RK_sports got me a job where living off 4 hours sleep was norma… https://t.co/cSgwezUcoR
1,1,1,06,Sat,1,12,19-29,female,non-org,1,1,1,1,The one day I can sleep in and I’m up at 5 with no indication of being able to fall back asleep
0,0,0,10,Sat,0,01,19-29,female,non-org,0,0,0,0,My boyfriend left me in the middle of the night because I snore too loud. I have successfully gained his entire bed to myself.
1,1,0,09,Thu,0,01,<=18,male,non-org,1,0,0,0,@ShortStuffKenz Riding the perpetual tired train too. Waiting for my shift to be over. Then it's on the sleep train.
0,0,0,17,Thu,0,01,>=40,male,non-org,0,0,0,0,@NickySmessaert Please have a good night Nicky and sleep well. I will try to stay inside when i can and dress warm outside.
0,0,0,16,Sun,0,01,>=40,male,non-org,0,0,0,0,@NickySmessaert Please have a good night Nicky and sleep well.
0,1,0,17,Wed,0,01,>=40,male,non-org,0,0,1,0,"@NickySmessaert Pleaae have a good night Nicky, sleep well. Tomorrow you visit the kitties."
0,0,0,16,Sat,0,03,>=40,male,non-org,0,0,0,0,@NickySmessaert Please have a good night Nicky and a restful sleep.
0,0,0,17,Sun,0,04,>=40,male,non-org,0,0,0,0,"@NickySmessaert Goodnight Nicky, please sleep well."
0,0,0,17,Mon,0,04,>=40,male,non-org,0,0,0,0,"@NickySmessaert Goodnight Nicky, please sleep well."
0,0,0,16,Mon,0,05,>=40,male,non-org,0,0,0,0,"@NickySmessaert Goodnight, sleep well Nicky."
0,0,1,16,Thu,0,12,>=40,male,non-org,0,0,0,0,"@NickySmessaert Please have a good night Nicky, sleep well."
0,0,0,16,Sat,0,12,>=40,male,non-org,0,0,0,0,@NickySmessaert Please have a good night Nicky and restful sleep.
0,0,0,17,Mon,0,07,>=40,male,non-org,0,0,0,0,"@NickySmessaert Goodnight Nicky, please sleep well."
0,0,0,17,Fri,0,08,>=40,male,non-org,0,0,0,0,"@NickySmessaert It has been quite windy all day here as well. Please have a Goodnight Nicky, sleep well."
0,0,0,16,Thu,0,08,>=40,male,non-org,0,0,0,0,"@NickySmessaert Goodnight Nicky, sleep well."
0,0,0,16,Sun,0,10,>=40,male,non-org,0,0,0,0,"@NickySmessaert Please enjoy a good sleep Nicky, good night"
0,0,0,16,Sun,0,10,>=40,male,non-org,0,0,0,0,"@NickySmessaert Please have a Goodnight Nicky, sleep well."
0,0,0,16,Sun,0,11,>=40,male,non-org,0,0,0,0,"@NickySmessaert Light snow falling as night falls here. Please have a Goodnight Nicky, sleep well."
1,0,0,16,Wed,0,02,>=40,male,non-org,0,0,0,0,"@NickySmessaert I may have forgot to send a morning message, feeling tired . Please have a Goodnight Nicky, sleep well."
0,0,0,16,Wed,0,04,>=40,male,non-org,0,0,0,0,"@NickySmessaert Im out of town so i wish you a Goodnight Nicky, sleep well"
0,0,0,16,Thu,0,05,>=40,male,non-org,0,0,0,0,"@NickySmessaert Please have a Goodnight Nicky, sleep well."
0,0,0,16,Mon,0,03,>=40,male,non-org,0,0,0,0,"@NickySmessaert No rain today it was just mild. I hope your day was a nice one. Please have a Goodnight Nicky, sleep well."
0,1,0,15,Sat,0,12,<=18,male,non-org,0,0,0,0,I love my current sleep schedule https://t.co/r65Hxq80Ax
1,0,0,21,Sat,0,01,30-39,female,non-org,0,0,0,0,Awww tonight Kaylee was successful in sleeping over at her dads! So we got to be adults and go out after 7pm and ha… https://t.co/d5Asw6aFaY
1,0,1,20,Tue,0,01,30-39,female,non-org,1,1,1,1,Well I could go work out but I decided to shower and go to bed instead 🤷🏻‍♀️🤗 #selfcare starts with sleep #goodnight
1,0,1,23,Sat,1,01,19-29,female,non-org,1,1,1,1,My mom needs something done at 4 in the morning so she came to me cause she knows I won't be sleeping 🤣
0,0,0,02,Sun,0,12,19-29,female,non-org,0,0,0,0,My boyfriend started listening to educational YouTube videos about space as he’s trying to fall asleep and now I kn… https://t.co/ibfB43Z397
0,0,0,22,Sat,0,12,30-39,female,non-org,0,0,0,0,@colleen_mckane Yup. Hope you can sleep well tonight!
1,1,1,20,Sat,1,06,30-39,female,non-org,1,1,1,1,"I've had a rough. week. Fell asleep after 4AM on Thursday night, experienced intense grief and existential dread on… https://t.co/UQvFnpl1H6"
1,1,1,05,Sun,1,12,30-39,female,non-org,1,1,1,1,I tried to sleep for 3 hours. No dice. Absolutely wide awake. So restless that I can't even lie in bed and read or daydream.
0,1,0,21,Sun,0,02,30-39,female,non-org,0,0,0,0,"#DoctorSleep wasn't nominated for any #Oscars2020, but it was my favourite movie in years. #DrSleep."
1,0,0,22,Tue,0,01,>=40,male,non-org,0,0,0,0,"Arena I miss the most is Rexall Place in Edmonton, that ice was beautiful, the texture was a tad different, it wasn… https://t.co/wVRTPMqZVT"
1,0,1,01,Sun,0,12,<=18,male,non-org,1,0,1,0,"hahahahahahaha na lss na sa sleep tonight pero ""baby its alright"" lng ung alam😂😂🤦🏽‍♀️🤦🏽‍♀️ @kathkathleneee"
1,1,1,03,Sun,1,01,19-29,female,non-org,1,1,1,1,"I can't go back to sleep, I just had multiple back to back sleep paralysis https://t.co/u1XzUYo8KM"
0,0,0,00,Thu,0,10,19-29,female,non-org,0,0,0,0,@mesoportrayal What's this Juliana song called?
0,0,1,07,Sun,0,01,30-39,male,non-org,0,0,1,0,Went to bed at 11pm on Saturday night. Up at 7am on Sunday. That’s a full 8 hours sleep. Today I have some work to… https://t.co/PTCVCFjqyi
1,0,1,06,Wed,1,07,30-39,male,non-org,1,0,0,0,Morning Twitter. Waking up from a night of vivid melatonin dreams. #yawn #goodmorning #melatonin
1,0,0,08,Wed,1,01,<=18,female,non-org,0,0,0,0,Went to sleep with a headache. Woke up with a headache. 😩
0,1,0,07,Sun,0,01,30-39,male,non-org,0,0,0,0,"Just got home and it's my Friday (maybe might have to work Monday and Tuesday) so I'm so seeing if I should play PUBG, or go to sleep."
1,1,1,06,Mon,1,04,30-39,male,non-org,1,1,1,1,"Went to sleep around midnight, woke up at 2:45am and haven't been able to sleep since."
1,0,0,17,Fri,1,07,30-39,male,non-org,0,0,0,0,"I slept pretty good but I woke up exhausted, it's coming up on over a month of my work schedule being messed up,I'v… https://t.co/ByGNy67aJv"
1,1,1,16,Fri,1,08,30-39,male,non-org,1,1,1,1,"Did not sleep well today,I think I'm in for a rough night."
1,1,1,02,Mon,1,11,30-39,male,non-org,1,1,1,1,"I haven't been able to sleep at all this week, like I'm exhausted and all I want to do is sleep all day and night but I can't."
0,1,0,12,Sun,0,01,19-29,female,non-org,0,1,1,1,Newest family member Lavender.  Lavender’s 1st night and full day.   Will the lack of sleep be worth it? #newkitten… https://t.co/0cLEENHCUT
0,0,0,04,Mon,0,12,19-29,female,non-org,0,0,0,0,Had to wake up so early bcs of work bitchhhhhhh😫😫
0,0,0,13,Mon,0,12,>=40,male,non-org,0,0,0,0,Like doing something poorly thought out in a fit of crazy attempts to show you aren't asleep at the  wheel as you c… https://t.co/rg0I9XgZJS
0,0,0,14,Mon,0,12,<=18,male,non-org,0,0,0,0,@dannywood Got my bubbly about to put in the prime rib and stay warm and cozy for the rest of the day. Can’t wait to see you guys tonight ❤️
0,0,0,16,Mon,0,12,19-29,female,non-org,0,0,0,0,"2018 was definitely one of the worst years of my life, so i have good plans to just be asleep by 11pm tonight"
1,1,0,06,Mon,1,12,19-29,female,non-org,1,0,0,0,i was legit asleep by like 8:30 last night my work schedule got me all kinds of messed up
1,0,1,06,Mon,1,01,19-29,male,non-org,1,1,1,1,Time to sleep a little bit at... 6:36AM🙃😂
1,1,1,08,Mon,1,01,>=40,female,non-org,1,1,1,1,First night I've gotten more than a couple hours of sleep. It sucks because it is due to my husband's crazy schedul… https://t.co/UBpj67WBmZ
0,0,0,14,Mon,0,01,30-39,male,non-org,0,0,0,0,"@windsweptcoast I think so, she’ll fall asleep for a few minutes and then wake herself up and cry for a bit then be wide awake"
0,0,0,13,Thu,0,06,30-39,male,non-org,0,0,0,0,"Ugh. Why can’t Little Bean have this long of a nap after I put her down in her crib every time, not only after a bi… https://t.co/b9UDIF1OpB"
0,1,0,16,Mon,1,01,<=18,male,non-org,0,0,1,0,"@ScarletDrkGames Yeah, complete recovery from last month. I think. I think my sleep schedule is confused getting back to work though. 😅"
1,1,0,02,Mon,1,01,19-29,male,non-org,1,1,1,1,I can’t believe I drop sleep for two hours earlier &amp; my body really think da mean I should be up all night
0,0,0,15,Thu,0,01,19-29,male,non-org,0,0,0,0,Other night I dream my tongue ring drop out while I slept &amp; I swallowed it. https://t.co/GsyYdzTZOe
0,1,1,19,Fri,0,04,19-29,male,non-org,1,1,1,1,Falling asleep
0,0,0,00,Sat,0,07,19-29,male,non-org,0,0,0,0,Funny cause jay &amp; Bey really we’re having problems but we were sleep
0,0,1,20,Wed,0,04,19-29,male,non-org,0,0,0,0,Wanna sleep some more but I also wanna sleep tonight
0,0,0,22,Mon,0,01,>=40,female,non-org,0,0,0,0,@AustralianOpen is on - let the sleep deprivation begin. #AusOpen  Canada is so far away. #timezones @milosraonic… https://t.co/8o9yO0oV5x
1,0,0,02,Tue,1,01,30-39,male,non-org,0,1,0,1,2:54 AM Sleepless in #Edmonton watching @SeinfeldTV re-runs &amp; still funnier than ever. @JerrySeinfeld🍿 https://t.co/lTQpc29Kby
0,1,1,04,Wed,1,01,19-29,male,non-org,1,1,1,1,"i’ve gotten 10 hours of sleep since sunday, litttttt"
1,1,0,19,Wed,1,01,30-39,female,non-org,1,1,1,1,Survived my 2nd #workday of the week with lack of sleep due 2 yesterday late night/early morning watching #tennis 4… https://t.co/u3lsXr2pKv
1,1,0,15,Sun,1,01,30-39,female,non-org,1,1,1,1,"Finally awake after my all nighter yesterday due 2 the finals of #tennis, still exhausted literally slept all day t… https://t.co/t51dbBmmah"
1,0,1,04,Sun,1,03,30-39,female,non-org,1,1,1,1,"Been a busy #Saturday, yes lack of tweets exhausted somehow still awake after lack of sleep as did my weekend shift… https://t.co/9MqDGipcrF"
1,1,0,19,Wed,1,01,30-39,female,non-org,1,1,0,1,No sleep tonight 2 watch my fave @RafaelNadal &amp; @stanwawrinka!!! #VamosRafa #StantheMan 💪 #AusOpen
0,0,1,23,Sat,0,01,19-29,male,non-org,0,0,0,0,@MotorCitiHawk @MovementCon @SNL_Atlanta @jpodhoretz Whatever lets you sleep at night. https://t.co/DPm2DjiXxE
0,0,0,22,Sat,0,01,<=18,male,non-org,0,0,0,0,Okie I go to sleep now. Night! https://t.co/6kJoqHFlUh
1,0,1,20,Mon,0,01,<=18,male,non-org,1,1,1,1,I am going to sleep now. Night!
0,0,0,23,Wed,0,02,<=18,male,non-org,0,0,0,0,Going to sleep now. Lewd Night! https://t.co/K2iTV1d1XM
0,0,0,22,Wed,0,01,>=40,male,non-org,0,0,0,0,@EllieMaeOutWest @paulmcmanussd33 I even asked @heathermaahs once about Barry falling asleep at meetings and she co… https://t.co/wq8lgJ6FSY
0,0,0,11,Wed,0,01,<=18,male,non-org,0,0,0,0,Slept on my couch again last night and I gotta say couch sleep really does hit differently. That shit is refreshing.
0,0,0,08,Wed,1,01,30-39,female,non-org,0,0,0,0,@myra_mc Ya this melatonin has magnesium. Hotels are the worst.
0,0,0,08,Sun,0,02,30-39,female,non-org,0,0,0,0,@Cheekster16 @MattyDorf Its true. I was with a family last night and their toddler son sleeps in the bathroom. We a… https://t.co/GzOEW1vI45
1,0,1,16,Wed,1,03,30-39,female,non-org,1,1,1,1,@Cheekster16 @carlz8 I’m going to try it to help me sleep because melatonin made me crushingly depressed.
1,0,0,16,Mon,0,05,30-39,female,non-org,0,0,0,0,"We’ve been on a Disney trip for 5 straight days, even sleeping in the same room. We’ve been home less than an hour,… https://t.co/520mXsyX6q"
0,0,0,07,Sat,1,08,30-39,female,non-org,0,0,0,0,My body will accept exactly 6.5 hours of sleep and not a minute more.
0,0,1,20,Wed,0,09,30-39,female,non-org,0,0,0,0,I’m at my most adult when I take my make-up off and wash my face BEFORE I sit on the couch to fall asleep watching TV.
0,0,0,07,Tue,0,05,30-39,female,non-org,0,0,0,0,@as_per_danielle It hasn’t been working for a few weeks. I hear middle of the night is when you try but 🤷🏻‍♀️
1,1,1,02,Sun,0,01,19-29,male,non-org,1,1,1,1,Absolute sleep on the bathroom floor night tn
0,0,0,21,Wed,0,01,>=40,female,non-org,0,0,0,0,"@debbiegoins74 You’ve got this, babe!! Sending all the love!! Try to get some sleep tonight, as difficult as that may be 💞"
0,1,0,05,Thu,1,01,>=40,male,non-org,0,0,0,0,"@PhillPoppa @KarenKalifornia Sleep deprivation. Fear constantly. I’m going to not discuss certain things, but let’s… https://t.co/WLjRJJ86cS"
1,1,1,00,Fri,0,12,>=40,male,non-org,1,1,1,1,When you wake up in the middle of the night feeling happy because you are closer to your weekend hunt then realize… https://t.co/xJvU9OAJC4
1,1,1,05,Thu,1,01,19-29,female,non-org,1,1,1,1,night two of MAYBE 2 hours of sleep.    I am exhausted but all I do is toss and turn and watch the hours go by.
1,0,0,22,Wed,1,10,19-29,female,non-org,0,0,0,0,I sleep w earplugs in bc I’m the literal worst/lightest sleeper in the world (wake up an average of 6x a night &amp; ge… https://t.co/DMCTNYHydO
0,0,0,14,Sun,0,01,30-39,female,non-org,0,0,0,0,@RealLiteSleeper Clockwise. Are you left handed?
0,0,1,22,Sun,0,01,>=40,male,non-org,0,0,1,0,"I’m going to the third period.. I mean to sleep. Sorry mixed up my words there. Night y’all, please wake up… https://t.co/mbI98iwvVE"
0,0,1,00,Mon,1,01,19-29,male,non-org,0,0,1,0,When you could've had a perfectly good night's sleep on a Sunday but instead you decided to eat a brick of cheese a… https://t.co/uAtqsRRhmQ
0,0,1,05,Fri,0,01,<=18,male,non-org,0,0,0,0,Contesting this guy at desert junk all night was a nightmare in the tournament. https://t.co/O0uIbLNCvR
1,1,1,02,Mon,1,01,19-29,male,non-org,1,1,1,1,My sleep schedule has been pretty shitty this week and I act surprised when I look myself in the mirror and see the… https://t.co/UB3NvqafBV
1,1,0,04,Fri,1,01,19-29,female,non-org,1,1,1,1,Can't sleep? Go on Twitter. Oops.
0,0,0,06,Mon,0,01,30-39,male,non-org,0,0,0,0,"@Butterfly101Fun They pull a leaf comforter about themselves, say goodnight to each other, and sleep the season away. 😀"
1,1,1,17,Tue,1,05,30-39,male,non-org,1,1,1,1,"Didn't sleep well, felt messed up all day... hit a personal record for what I was working on. I don't believe the t… https://t.co/aamoJpkGBv"
1,1,1,02,Wed,1,07,30-39,male,non-org,1,1,1,1,"Up waiting for a Tylenol dose to kick in so I can resume that critical last hour of sleep, also seeing people grave… https://t.co/jYzxlGWzdl"
0,1,0,21,Fri,0,02,30-39,male,non-org,0,0,0,0,"Not going to snack, just prepare to sleep I suppose. This time is ""late night"" when wake time was 4:30am"
1,1,1,06,Sun,1,02,30-39,male,non-org,1,1,1,1,"Slightly sleepless the past 20 minutes. So if I'm becoming this well rested I'll be fine waking up early Monday, ri… https://t.co/fRU2lEfVy8"
1,1,1,23,Thu,1,01,19-29,male,non-org,1,1,1,1,Just came from work my body is kinna zork and i can’t sleep. 🥴
0,1,0,10,Mon,1,01,19-29,female,non-org,0,0,0,0,"I just slept for 11 hours. At that point, I kinda danced with death a lil bit"
1,1,0,14,Mon,1,01,30-39,male,non-org,1,0,1,0,@MagikoGreen Lack of sleep I'm sure @CHCHNews
0,0,0,08,Mon,0,02,30-39,male,non-org,0,0,0,0,Have a good sleep nightshifters
0,0,0,13,Fri,0,01,30-39,female,non-org,0,0,0,0,@cspotweet Have you tried melatonin? Hubs recently started on it for those very reasons and he is sleeping soundly now
1,1,1,10,Wed,1,09,30-39,female,non-org,1,1,1,1,What a week it has been and it’s only Wednesday! So many things going on in the Sexsmith house I can barely sleep 😴
0,0,0,20,Fri,0,01,30-39,male,non-org,0,0,0,0,The Pens aren't on until 10:30 and this headache is telling me I might be asleep by then but the bottle of wine on… https://t.co/4EE29gkcpf
1,0,0,01,Fri,0,12,30-39,male,non-org,0,0,0,0,"@queenjaynine I always wind up thinking I slept through the night then realizing I was ""cold mad texting"" folks who… https://t.co/D0xok24zXv"
1,0,1,17,Fri,0,01,>=40,male,non-org,1,1,1,1,@Benaskren Well I slept 🛏 at a HOLIDAY INN EXPRESS Last Night !!! 👊🏼🇨🇦👊🏼 #TeamMMA4LIFE #UFCBrooklyn
0,0,0,20,Mon,0,01,>=40,male,non-org,0,0,0,0,@TeamJBB_ @jamesbarkerband Can't wait. Only two more sleeps 😊
1,1,1,01,Tue,1,01,<=18,female,non-org,1,1,1,1,LOL HEY GUESS WHOS AWAKE BUT I NEED TO OPEN TOMORROW SO I DONT HAVE THE OPTION OF SLEEPING IN SOMEONE PLEASE END MY SUFFERING
1,1,1,03,Tue,1,01,<=18,female,non-org,1,1,1,1,"I'm currently in so much pain I can barely breathe, much less sleep, and all I can think about is how I always smil… https://t.co/SPagr6OWur"
0,1,0,22,Fri,0,02,>=40,male,non-org,0,0,0,0,@CJ_Stevenson One has to think Pierre hasn't been getting a whole pile of restful sleep this season.
1,0,0,04,Tue,1,02,19-29,female,non-org,0,0,0,0,Why does my uterus have to play me like this? LET ME SLEEP! THIS IS NO TIME FOR YOUR PAIN!
1,0,1,17,Wed,0,04,19-29,female,non-org,1,0,0,0,I’m legit gonna fall asleep at work
0,0,0,01,Mon,0,04,19-29,female,non-org,0,0,0,0,"If I pause a TV show when i’m sleepy, I must REALLY care about the plot because I usually don’t give a shit about falling asleep on them."
0,0,0,07,Thu,0,11,19-29,female,non-org,0,0,0,0,Not to be dramatic but i’m in bed and i already can’t for for tonight when i come home from work and go to sleep right the heck away.
0,1,0,12,Sat,0,01,30-39,male,non-org,0,0,0,0,@KellyannePolls You're like the leader of the dumb and unread yet you know better. I'm guessing you can't sleep at… https://t.co/kDsQeS7438
1,1,1,07,Tue,1,02,<=18,female,non-org,1,1,1,1,"Headache is killing me, I need sleep..sigh, oh well. lets have another sleepless night, cool."
1,1,1,08,Sat,1,05,<=18,female,non-org,1,1,1,1,"didn't sleep well last night, been up since 2am got blood taken hr ago.. waiting to see my doc..damn he hella handsome. 🤦🏻😂"
1,1,1,10,Tue,1,02,<=18,female,non-org,1,1,1,1,Another zombie day of less than 3 hours of sleep ☠️
1,0,1,10,Wed,0,12,<=18,female,non-org,1,1,0,1,@AronDraws Lmfaoooo okay weed can help some things like anxiety or sleep or cancer but it’s never going to work mir… https://t.co/ktVrBO8hqH
1,1,1,15,Sat,1,09,<=18,female,non-org,1,1,1,1,I shouldn’t have taken that anti psychotic to fall asleep last night... I can’t even conjure up purpose to get up a… https://t.co/J3ZNkELgEu
0,1,1,16,Sat,1,01,19-29,female,non-org,1,1,1,1,@JackMorris41811 No but I did have a nightmare lastnight and woke up at 630am like hyperventilating . Good times
0,0,1,10,Tue,0,05,19-29,female,non-org,0,0,0,0,8-10am is way too friggen early to be listening to information on biological factors of the brain and intelligence. I’m falling asleep.
0,0,0,15,Tue,0,01,>=40,male,non-org,0,0,0,0,@DrFullertonMPP  @MacLeodLisa how do you sleep at night cutting odsp and osap? Both programs desperately needed by… https://t.co/JzsGdyKG5e
0,1,1,15,Tue,0,02,19-29,female,non-org,1,1,1,1,I'm in a mental slump today. Don't want to get out of bed. I just want to sleep until I feel better. I have no idea… https://t.co/qPkBSh6YwG
1,1,1,12,Tue,1,02,19-29,female,non-org,1,1,1,1,@bmoore123 Ick. I know the feeling. My sleep schedule is so messed up!
0,0,0,18,Tue,0,01,>=40,male,non-org,0,0,0,0,@ACMilanSydney My worry is that they fall asleep luk e you say.. they need to keep playing this way
1,1,1,23,Sat,1,02,<=18,female,non-org,1,1,1,1,"Night evTHeryone,if I CANT SLEEP,backagain"
1,1,0,09,Wed,1,01,19-29,male,non-org,1,1,0,1,Feeling anxiety and didn't sleep at all last night. Sometimes things aren't great and we don't really know why. #BellLetsTalk
0,0,0,11,Sun,0,02,19-29,female,non-org,0,0,0,0,"@Otter_News Put down your phone or book, and put that baby otter on your chest NOW!  And cradle it as it falls asleep!"
1,1,1,11,Thu,1,08,19-29,female,non-org,1,1,1,1,"@DrPatchbeard Terribly.  It took +2 hours to fall asleep, then after the 3 am bladder break, I didn’t drift off imm… https://t.co/8flWHMxbeq"
0,0,0,22,Thu,0,10,19-29,female,non-org,0,0,0,0,@HoldensCoffee I didn’t need to sleep tonight. https://t.co/zKQFb0oeBN
0,0,0,20,Wed,0,02,>=40,female,non-org,0,0,0,0,My Mémère Toots wouldn't have put up with that sh!t either. God rest her soul.
0,0,0,18,Thu,0,02,>=40,female,non-org,0,0,0,0,When Harry Met Sally or Sleepless in Seattle? I'm feeling like Meg Ryan tonight. https://t.co/W7t9RUx3uw
1,0,0,23,Thu,1,02,<=18,female,non-org,0,0,0,0,I kept forgetting to eat a proper meal all night and now that I’m in bed needing to sleep I’m starving 😭
0,0,0,23,Wed,0,12,<=18,female,non-org,0,0,0,0,I am tuckered out!!! Ready to sleep good in my own bed tonight! 😴
0,0,0,23,Fri,0,03,<=18,female,non-org,0,0,0,0,@MorganCoook is gonna brag tomorrow about how she slept for 73 hours straight and I’m already annoyed by it. I’m pre annoyed 😂
0,1,0,23,Thu,0,02,19-29,male,non-org,0,0,1,0,"Am I really going to set my alarm for 5am just so I can see the Boomtown line up then (try to) go back to sleep. Yes, yes I am."
0,0,1,00,Sat,1,10,19-29,male,non-org,0,0,0,0,I always forget about the ‘caffeine to keep you awake for a late shift’ then the ‘can’t sleep after work because of caffeine’ thing.
1,1,0,11,Fri,1,02,30-39,male,non-org,1,0,1,0,@AliceHeart1553 Home now. Mild concussion. Slept an hour this morning.
1,1,1,00,Tue,1,07,30-39,male,non-org,1,1,1,1,Can't sleep . My mind is in a dark place. I'm bleeding from a mole that apparently I opened with an anxiety scratch… https://t.co/bg7VN9apMw
0,0,0,11,Fri,0,02,30-39,male,non-org,0,0,0,0,Some of you are too woke that you suffer from sleep depervation
1,1,0,01,Sun,1,06,30-39,male,non-org,1,1,1,1,@PEKAVELI Still can't sleep the first night she goes back
1,1,0,04,Mon,1,05,30-39,male,non-org,1,1,1,1,Feel asleep on the couch...woke up....came into bed now I can't go back to sleep
0,0,0,09,Fri,0,02,19-29,female,non-org,0,0,0,0,anything worse than sleeping in past complimentary breakfast hours? #hungryaf
0,0,0,17,Fri,0,02,>=40,male,non-org,0,0,0,0,Happy to have to guys stop by!  Good luck tonight and the rest of the way!
0,0,0,22,Fri,0,02,19-29,female,non-org,0,0,0,0,Ok nah forreal time for a nap I want to pull an all-nighter so I can chill after work and the rest of the week
